marks,year,caste,list,subject,cutoff,result
48,2020,VJ-A,1st,PCM,,
66,2020,NT-D,1st,PCM,,
84,2020,NT-C,1st,PCM,,
70,2020,VJ-A,1st,PCM,,
80,2020,EBC,1st,PCM,,
81,2020,VJ-A,1st,PCM,,
40,2020,VJ-A,1st,PCM,,
77,2020,NT-C,1st,PCM,,
87,2020,NT-C,1st,PCM,,
56,2020,VJ-A,1st,PCM,,
81,2020,NT-D,1st,PCM,,
39,2020,NT-C,1st,PCM,,
86,2020,ST,1st,PCM,,
39,2020,EBC,1st,PCM,,
45,2020,OBC,1st,PCM,,
53,2020,SEBC,1st,PCM,,
35,2020,Open,1st,PCM,,
36,2020,OBC,1st,PCM,,
63,2020,OBC,1st,PCM,,
92,2020,OBC,1st,PCM,,
91,2020,SEBC,1st,PCM,,
81,2020,EBC,1st,PCM,,
69,2020,SC,1st,PCM,,
37,2020,SC,1st,PCM,,
94,2020,Open,1st,PCM,,
44,2020,ST,1st,PCM,,
73,2020,ST,1st,PCM,,
39,2020,EBC,1st,PCM,,
60,2020,SBC,1st,PCM,,
70,2020,OBC,1st,PCM,,
54,2020,Open,1st,PCM,,
84,2020,NT-C,1st,PCM,,
46,2020,OBC,1st,PCM,,
71,2020,NT-C,1st,PCM,,
82,2020,SEBC,1st,PCM,,
99,2020,OBC,1st,PCM,,
52,2020,VJ-A,1st,PCM,,
52,2020,NT-D,1st,PCM,,
81,2020,VJ-A,1st,PCM,,
55,2020,SBC,1st,PCM,,
72,2020,SBC,1st,PCM,,
57,2020,SBC,1st,PCM,,
70,2020,SC,1st,PCM,,
85,2020,NT-C,1st,PCM,,
89,2020,NT-B,1st,PCM,,
89,2020,NT-D,1st,PCM,,
98,2020,EBC,1st,PCM,,
49,2020,NT-D,1st,PCM,,
39,2020,SC,1st,PCM,,
58,2020,SBC,1st,PCM,,
59,2020,EBC,1st,PCM,,
100,2020,SEBC,1st,PCM,,
64,2020,NT-C,1st,PCM,,
67,2020,NT-B,1st,PCM,,
63,2020,SBC,1st,PCM,,
76,2020,NT-B,1st,PCM,,
83,2020,EBC,1st,PCM,,
62,2020,NT-C,1st,PCM,,
52,2020,SC,1st,PCM,,
89,2020,SC,1st,PCM,,
75,2020,VJ-A,1st,PCM,,
81,2020,OBC,1st,PCM,,
90,2020,OBC,1st,PCM,,
46,2020,SEBC,1st,PCM,,
47,2020,NT-C,1st,PCM,,
55,2020,NT-D,1st,PCM,,
84,2020,SC,1st,PCM,,
48,2020,OBC,1st,PCM,,
100,2020,SEBC,1st,PCM,,
41,2020,VJ-A,1st,PCM,,
74,2020,OBC,1st,PCM,,
73,2020,SC,1st,PCM,,
77,2020,SC,1st,PCM,,
68,2020,SC,1st,PCM,,
67,2020,Open,1st,PCM,,
98,2020,SC,1st,PCM,,
57,2020,NT-B,1st,PCM,,
50,2020,ST,1st,PCM,,
57,2020,ST,1st,PCM,,
95,2020,VJ-A,1st,PCM,,
43,2020,NT-D,1st,PCM,,
77,2020,SEBC,1st,PCM,,
89,2020,EBC,1st,PCM,,
88,2020,Open,1st,PCM,,
51,2020,NT-C,1st,PCM,,
44,2020,EBC,1st,PCM,,
45,2020,ST,1st,PCM,,
51,2020,NT-D,1st,PCM,,
40,2020,NT-D,1st,PCM,,
81,2020,NT-D,1st,PCM,,
77,2020,OBC,1st,PCM,,
37,2020,ST,1st,PCM,,
58,2020,NT-C,1st,PCM,,
65,2020,SC,1st,PCM,,
35,2020,SC,1st,PCM,,
60,2020,NT-D,1st,PCM,,
37,2020,EBC,1st,PCM,,
57,2020,EBC,1st,PCM,,
98,2020,ST,1st,PCM,,
64,2020,SBC,1st,PCM,,
65,2020,OBC,1st,PCM,,
78,2020,OBC,1st,PCM,,
95,2020,NT-C,1st,PCM,,
43,2020,SEBC,1st,PCM,,
47,2020,OBC,1st,PCM,,
72,2020,NT-B,1st,PCM,,
36,2020,NT-B,1st,PCM,,
72,2020,NT-B,1st,PCM,,
40,2020,NT-B,1st,PCM,,
40,2020,NT-C,1st,PCM,,
71,2020,EBC,1st,PCM,,
75,2020,SC,1st,PCM,,
57,2020,NT-C,1st,PCM,,
96,2020,NT-D,1st,PCM,,
90,2020,NT-D,1st,PCM,,
72,2020,SEBC,1st,PCM,,
65,2020,ST,1st,PCM,,
78,2020,ST,1st,PCM,,
77,2020,SBC,1st,PCM,,
74,2020,ST,1st,PCM,,
80,2020,NT-D,1st,PCM,,
67,2020,NT-D,1st,PCM,,
71,2020,SEBC,1st,PCM,,
55,2020,OBC,1st,PCM,,
64,2020,OBC,1st,PCM,,
92,2020,SEBC,1st,PCM,,
46,2020,NT-C,1st,PCM,,
43,2020,NT-B,1st,PCM,,
50,2020,OBC,1st,PCM,,
80,2020,SBC,1st,PCM,,
95,2020,NT-C,1st,PCM,,
96,2020,SC,1st,PCM,,
85,2020,NT-D,1st,PCM,,
46,2020,SEBC,1st,PCM,,
92,2020,SEBC,1st,PCM,,
36,2020,NT-B,1st,PCM,,
85,2020,SC,1st,PCM,,
43,2020,VJ-A,1st,PCM,,
54,2020,SC,1st,PCM,,
66,2020,NT-C,1st,PCM,,
96,2020,Open,1st,PCM,,
92,2020,SEBC,1st,PCM,,
56,2020,OBC,1st,PCM,,
73,2020,NT-B,1st,PCM,,
67,2020,NT-C,1st,PCM,,
91,2020,SEBC,1st,PCM,,
100,2020,Open,1st,PCM,,
77,2020,ST,1st,PCM,,
99,2020,NT-B,1st,PCM,,
77,2020,ST,1st,PCM,,
73,2020,SC,1st,PCM,,
79,2020,VJ-A,1st,PCM,,
81,2020,Open,1st,PCM,,
69,2020,NT-B,1st,PCM,,
42,2020,VJ-A,1st,PCM,,
69,2020,NT-D,1st,PCM,,
70,2020,SC,1st,PCM,,
96,2020,SBC,1st,PCM,,
38,2020,EBC,1st,PCM,,
84,2020,SC,1st,PCM,,
54,2020,EBC,1st,PCM,,
68,2020,Open,1st,PCM,,
76,2020,NT-C,1st,PCM,,
81,2020,NT-C,1st,PCM,,
45,2020,SBC,1st,PCM,,
73,2020,NT-B,1st,PCM,,
82,2020,SC,1st,PCM,,
45,2020,VJ-A,1st,PCM,,
46,2020,EBC,1st,PCM,,
97,2020,NT-B,1st,PCM,,
83,2020,OBC,1st,PCM,,
61,2020,SBC,1st,PCM,,
40,2020,NT-D,1st,PCM,,
85,2020,NT-D,1st,PCM,,
95,2020,SC,1st,PCM,,
52,2020,NT-C,1st,PCM,,
40,2020,NT-C,1st,PCM,,
89,2020,NT-B,1st,PCM,,
95,2020,NT-B,1st,PCM,,
47,2020,NT-B,1st,PCM,,
100,2020,NT-D,1st,PCM,,
100,2020,EBC,1st,PCM,,
50,2020,ST,1st,PCM,,
97,2020,Open,1st,PCM,,
47,2020,EBC,1st,PCM,,
39,2020,NT-D,1st,PCM,,
48,2020,Open,1st,PCM,,
35,2020,NT-B,1st,PCM,,
39,2020,SEBC,1st,PCM,,
83,2020,SEBC,1st,PCM,,
99,2020,NT-D,1st,PCM,,
71,2020,SBC,1st,PCM,,
93,2020,NT-C,1st,PCM,,
83,2020,NT-D,1st,PCM,,
95,2020,OBC,1st,PCM,,
49,2020,VJ-A,1st,PCM,,
39,2020,VJ-A,1st,PCM,,
39,2020,NT-B,1st,PCM,,
63,2020,SBC,1st,PCM,,
48,2020,ST,1st,PCM,,
100,2020,NT-B,1st,PCM,,
66,2020,NT-B,1st,PCM,,
77,2020,SC,1st,PCM,,
95,2020,SC,1st,PCM,,
48,2020,SBC,1st,PCM,,
49,2020,NT-D,1st,PCM,,
41,2020,NT-D,1st,PCM,,
93,2020,Open,1st,PCM,,
92,2020,SBC,1st,PCM,,
46,2020,SC,1st,PCM,,
46,2020,VJ-A,1st,PCM,,
76,2020,NT-D,1st,PCM,,
39,2020,NT-D,1st,PCM,,
35,2020,Open,1st,PCM,,
72,2020,NT-D,1st,PCM,,
97,2020,ST,1st,PCM,,
53,2020,SEBC,1st,PCM,,
37,2020,SC,1st,PCM,,
45,2020,SC,1st,PCM,,
36,2020,NT-C,1st,PCM,,
85,2020,NT-D,1st,PCM,,
39,2020,VJ-A,1st,PCM,,
41,2020,EBC,1st,PCM,,
70,2020,VJ-A,1st,PCM,,
67,2020,ST,1st,PCM,,
42,2020,VJ-A,1st,PCM,,
50,2020,Open,1st,PCM,,
63,2020,NT-B,1st,PCM,,
76,2020,SEBC,1st,PCM,,
39,2020,VJ-A,1st,PCM,,
81,2020,NT-B,1st,PCM,,
75,2020,OBC,1st,PCM,,
78,2020,Open,1st,PCM,,
79,2020,NT-B,1st,PCM,,
87,2020,OBC,1st,PCM,,
47,2020,SEBC,1st,PCM,,
69,2020,ST,1st,PCM,,
42,2020,OBC,1st,PCM,,
82,2020,OBC,1st,PCM,,
64,2020,EBC,1st,PCM,,
91,2020,SEBC,1st,PCM,,
98,2020,EBC,1st,PCM,,
35,2020,NT-B,1st,PCM,,
74,2020,SBC,1st,PCM,,
84,2020,EBC,1st,PCM,,
91,2020,NT-B,1st,PCM,,
40,2020,NT-B,1st,PCM,,
75,2020,ST,1st,PCM,,
76,2020,NT-C,1st,PCM,,
76,2020,SEBC,1st,PCM,,
85,2020,NT-B,1st,PCM,,
37,2020,SEBC,1st,PCM,,
54,2020,OBC,1st,PCM,,
42,2020,NT-C,1st,PCM,,
81,2020,SBC,1st,PCM,,
67,2020,EBC,1st,PCM,,
76,2020,SBC,1st,PCM,,
42,2020,VJ-A,1st,PCM,,
73,2020,EBC,1st,PCM,,
51,2020,NT-B,1st,PCM,,
66,2020,VJ-A,1st,PCM,,
85,2020,EBC,1st,PCM,,
73,2020,SC,1st,PCM,,
38,2020,Open,1st,PCM,,
79,2020,EBC,1st,PCM,,
99,2020,ST,1st,PCM,,
43,2020,NT-D,1st,PCM,,
48,2020,NT-D,1st,PCM,,
65,2020,SEBC,1st,PCM,,
71,2020,NT-C,1st,PCM,,
40,2020,EBC,1st,PCM,,
90,2020,EBC,1st,PCM,,
49,2020,NT-C,1st,PCM,,
39,2020,NT-B,1st,PCM,,
82,2020,ST,1st,PCM,,
56,2020,NT-B,1st,PCM,,
37,2020,SC,1st,PCM,,
64,2020,SC,1st,PCM,,
93,2020,ST,1st,PCM,,
84,2020,NT-D,1st,PCM,,
35,2020,NT-C,1st,PCM,,
43,2020,SBC,1st,PCM,,
90,2020,SC,1st,PCM,,
81,2020,VJ-A,1st,PCM,,
85,2020,NT-D,1st,PCM,,
67,2020,VJ-A,1st,PCM,,
84,2020,EBC,1st,PCM,,
57,2020,SBC,1st,PCM,,
53,2020,VJ-A,1st,PCM,,
89,2020,NT-D,1st,PCM,,
46,2020,Open,1st,PCM,,
90,2020,VJ-A,1st,PCM,,
88,2020,EBC,1st,PCM,,
72,2020,NT-D,1st,PCM,,
62,2020,EBC,1st,PCM,,
37,2020,SBC,1st,PCM,,
35,2020,ST,1st,PCM,,
77,2020,ST,1st,PCM,,
94,2020,Open,1st,PCM,,
92,2020,OBC,1st,PCM,,
76,2020,NT-B,1st,PCM,,
45,2020,Open,1st,PCM,,
37,2020,OBC,1st,PCM,,
40,2020,Open,1st,PCM,,
76,2020,NT-C,1st,PCM,,
83,2020,ST,1st,PCM,,
78,2020,EBC,1st,PCM,,
94,2020,VJ-A,1st,PCM,,
55,2020,NT-C,1st,PCM,,
93,2020,NT-D,1st,PCM,,
88,2020,SEBC,1st,PCM,,
81,2020,ST,1st,PCM,,
40,2020,NT-D,1st,PCM,,
61,2020,NT-C,1st,PCM,,
41,2020,NT-D,1st,PCM,,
88,2020,OBC,1st,PCM,,
78,2020,SBC,1st,PCM,,
68,2020,EBC,1st,PCM,,
77,2020,VJ-A,1st,PCM,,
87,2020,OBC,1st,PCM,,
37,2020,NT-C,1st,PCM,,
42,2020,SC,1st,PCM,,
76,2020,Open,1st,PCM,,
70,2020,NT-B,1st,PCM,,
63,2020,OBC,1st,PCM,,
57,2020,VJ-A,1st,PCM,,
91,2020,EBC,1st,PCM,,
43,2020,ST,1st,PCM,,
97,2020,Open,1st,PCM,,
61,2020,NT-B,1st,PCM,,
70,2020,NT-D,1st,PCM,,
73,2020,SBC,1st,PCM,,
82,2020,SEBC,1st,PCM,,
35,2020,NT-B,1st,PCM,,
89,2020,NT-C,1st,PCM,,
80,2020,OBC,1st,PCM,,
51,2020,EBC,1st,PCM,,
63,2020,NT-C,1st,PCM,,
86,2020,ST,1st,PCM,,
81,2020,NT-D,1st,PCM,,
99,2020,VJ-A,1st,PCM,,
66,2020,EBC,1st,PCM,,
63,2020,VJ-A,1st,PCM,,
56,2020,ST,1st,PCM,,
96,2020,VJ-A,1st,PCM,,
35,2020,NT-C,1st,PCM,,
90,2020,VJ-A,1st,PCM,,
64,2020,SBC,1st,PCM,,
90,2020,OBC,1st,PCM,,
85,2020,VJ-A,1st,PCM,,
77,2020,NT-C,1st,PCM,,
69,2020,EBC,1st,PCM,,
63,2020,EBC,1st,PCM,,
82,2020,NT-B,1st,PCM,,
41,2020,NT-B,1st,PCM,,
54,2020,NT-D,1st,PCM,,
41,2020,NT-C,1st,PCM,,
85,2020,EBC,1st,PCM,,
79,2020,SEBC,1st,PCM,,
44,2020,SEBC,1st,PCM,,
73,2020,SBC,1st,PCM,,
35,2020,SBC,1st,PCM,,
67,2020,Open,1st,PCM,,
61,2020,ST,1st,PCM,,
90,2020,NT-B,1st,PCM,,
49,2020,Open,1st,PCM,,
51,2020,VJ-A,1st,PCM,,
95,2020,VJ-A,1st,PCM,,
66,2020,SEBC,1st,PCM,,
62,2020,OBC,1st,PCM,,
38,2020,EBC,1st,PCM,,
93,2020,Open,1st,PCM,,
68,2020,SBC,1st,PCM,,
89,2020,SEBC,1st,PCM,,
91,2020,SEBC,1st,PCM,,
41,2020,EBC,1st,PCM,,
79,2020,SEBC,1st,PCM,,
81,2020,NT-B,1st,PCM,,
66,2020,VJ-A,1st,PCM,,
79,2020,OBC,1st,PCM,,
77,2020,ST,1st,PCM,,
38,2020,NT-C,1st,PCM,,
38,2020,NT-C,1st,PCM,,
56,2020,SC,1st,PCM,,
44,2020,EBC,1st,PCM,,
84,2020,SEBC,1st,PCM,,
96,2020,NT-D,1st,PCM,,
81,2020,NT-D,1st,PCM,,
80,2020,Open,1st,PCM,,
65,2020,SBC,1st,PCM,,
76,2020,NT-C,1st,PCM,,
80,2020,NT-C,1st,PCM,,
89,2020,EBC,1st,PCM,,
69,2020,NT-D,1st,PCM,,
100,2020,ST,1st,PCM,,
86,2020,OBC,1st,PCM,,
78,2020,NT-C,1st,PCM,,
53,2020,SC,1st,PCM,,
42,2020,ST,1st,PCM,,
95,2020,Open,1st,PCM,,
69,2020,VJ-A,1st,PCM,,
41,2020,NT-C,1st,PCM,,
85,2020,Open,1st,PCM,,
62,2020,EBC,1st,PCM,,
83,2020,VJ-A,1st,PCM,,
40,2020,ST,1st,PCM,,
67,2020,Open,1st,PCM,,
43,2020,SEBC,1st,PCM,,
69,2020,NT-B,1st,PCM,,
65,2020,OBC,1st,PCM,,
67,2020,NT-B,1st,PCM,,
79,2020,EBC,1st,PCM,,
94,2020,NT-B,1st,PCM,,
79,2020,SBC,1st,PCM,,
44,2020,NT-C,1st,PCM,,
80,2020,EBC,1st,PCM,,
100,2020,ST,1st,PCM,,
46,2020,ST,1st,PCM,,
84,2020,Open,1st,PCM,,
99,2020,Open,1st,PCM,,
62,2020,SBC,1st,PCM,,
69,2020,SEBC,1st,PCM,,
79,2020,ST,1st,PCM,,
64,2020,NT-B,1st,PCM,,
46,2020,OBC,1st,PCM,,
92,2020,SBC,1st,PCM,,
43,2020,Open,1st,PCM,,
91,2020,SC,1st,PCM,,
99,2020,SEBC,1st,PCM,,
84,2020,EBC,1st,PCM,,
39,2020,NT-B,1st,PCM,,
70,2020,NT-C,1st,PCM,,
63,2020,Open,1st,PCM,,
47,2020,ST,1st,PCM,,
39,2020,Open,1st,PCM,,
56,2020,NT-D,1st,PCM,,
49,2020,NT-D,1st,PCM,,
45,2020,Open,1st,PCM,,
68,2020,OBC,1st,PCM,,
91,2020,ST,1st,PCM,,
95,2020,ST,1st,PCM,,
60,2020,NT-B,1st,PCM,,
57,2020,Open,1st,PCM,,
57,2020,SEBC,1st,PCM,,
69,2020,NT-B,1st,PCM,,
38,2020,NT-D,1st,PCM,,
48,2020,NT-B,1st,PCM,,
77,2020,SC,1st,PCM,,
85,2020,OBC,1st,PCM,,
68,2020,SBC,1st,PCM,,
71,2020,Open,1st,PCM,,
83,2020,SC,1st,PCM,,
80,2020,SBC,1st,PCM,,
88,2020,VJ-A,1st,PCM,,
56,2020,SEBC,1st,PCM,,
40,2020,NT-C,1st,PCM,,
75,2020,VJ-A,1st,PCM,,
43,2020,NT-D,1st,PCM,,
71,2020,SEBC,1st,PCM,,
48,2020,EBC,1st,PCM,,
97,2020,Open,1st,PCM,,
86,2020,NT-B,1st,PCM,,
42,2020,OBC,1st,PCM,,
40,2020,VJ-A,1st,PCM,,
78,2020,OBC,1st,PCM,,
35,2020,ST,1st,PCM,,
88,2020,NT-B,1st,PCM,,
61,2020,SBC,1st,PCM,,
48,2020,OBC,1st,PCM,,
35,2020,EBC,1st,PCM,,
59,2020,SC,1st,PCM,,
64,2020,SC,1st,PCM,,
37,2020,ST,1st,PCM,,
35,2020,EBC,1st,PCM,,
86,2020,NT-C,1st,PCM,,
40,2020,VJ-A,1st,PCM,,
87,2020,EBC,1st,PCM,,
84,2020,SEBC,1st,PCM,,
68,2020,NT-D,1st,PCM,,
38,2020,NT-B,1st,PCM,,
43,2020,SC,1st,PCM,,
73,2020,NT-D,1st,PCM,,
89,2020,NT-B,1st,PCM,,
71,2020,NT-B,1st,PCM,,
70,2020,Open,1st,PCM,,
42,2020,ST,1st,PCM,,
92,2020,NT-C,1st,PCM,,
72,2020,EBC,1st,PCM,,
40,2020,NT-B,1st,PCM,,
75,2020,OBC,1st,PCM,,
88,2020,NT-D,1st,PCM,,
54,2020,NT-D,1st,PCM,,
74,2020,NT-D,1st,PCM,,
76,2020,NT-B,1st,PCM,,
69,2020,VJ-A,1st,PCM,,
85,2020,Open,1st,PCM,,
79,2020,EBC,1st,PCM,,
47,2020,ST,1st,PCM,,
82,2020,NT-D,1st,PCM,,
82,2020,ST,1st,PCM,,
49,2020,NT-B,1st,PCM,,
49,2020,EBC,1st,PCM,,
39,2020,EBC,1st,PCM,,
83,2020,VJ-A,1st,PCM,,
73,2020,NT-B,1st,PCM,,
92,2020,NT-D,1st,PCM,,
38,2020,ST,1st,PCM,,
50,2020,VJ-A,1st,PCM,,
91,2020,ST,1st,PCM,,
56,2020,OBC,1st,PCM,,
62,2020,SC,1st,PCM,,
77,2020,SEBC,1st,PCM,,
55,2020,EBC,1st,PCM,,
58,2020,NT-D,1st,PCM,,
77,2020,Open,1st,PCM,,
47,2020,EBC,1st,PCM,,
56,2020,NT-B,1st,PCM,,
38,2020,SBC,1st,PCM,,
95,2020,NT-D,1st,PCM,,
77,2020,NT-C,1st,PCM,,
53,2020,EBC,1st,PCM,,
95,2020,NT-D,1st,PCM,,
73,2020,ST,1st,PCM,,
71,2020,Open,1st,PCM,,
89,2020,NT-D,1st,PCM,,
89,2020,ST,1st,PCM,,
80,2020,NT-B,1st,PCM,,
98,2020,EBC,1st,PCM,,
65,2020,SC,1st,PCM,,
63,2020,SEBC,1st,PCM,,
84,2020,OBC,1st,PCM,,
51,2020,NT-B,1st,PCM,,
71,2020,EBC,1st,PCM,,
94,2020,EBC,1st,PCM,,
43,2020,VJ-A,1st,PCM,,
96,2020,NT-C,1st,PCM,,
36,2020,NT-D,1st,PCM,,
85,2020,NT-B,1st,PCM,,
71,2020,SC,1st,PCM,,
64,2020,OBC,1st,PCM,,
43,2020,NT-C,1st,PCM,,
82,2020,VJ-A,1st,PCM,,
60,2020,NT-D,1st,PCM,,
61,2020,SEBC,1st,PCM,,
47,2020,NT-B,1st,PCM,,
48,2020,EBC,1st,PCM,,
64,2020,SBC,1st,PCM,,
93,2020,ST,1st,PCM,,
38,2020,SEBC,1st,PCM,,
88,2020,SC,1st,PCM,,
84,2020,SC,1st,PCM,,
80,2020,Open,1st,PCM,,
99,2020,VJ-A,1st,PCM,,
69,2020,NT-D,1st,PCM,,
91,2020,SBC,1st,PCM,,
43,2020,ST,1st,PCM,,
76,2020,SC,1st,PCM,,
66,2020,OBC,1st,PCM,,
62,2020,ST,1st,PCM,,
61,2020,SBC,1st,PCM,,
80,2020,SBC,1st,PCM,,
89,2020,NT-C,1st,PCM,,
59,2020,SBC,1st,PCM,,
76,2020,NT-C,1st,PCM,,
69,2020,VJ-A,1st,PCM,,
50,2020,SBC,1st,PCM,,
61,2020,Open,1st,PCM,,
68,2020,NT-D,1st,PCM,,
52,2020,SBC,1st,PCM,,
87,2020,NT-B,1st,PCM,,
71,2020,VJ-A,1st,PCM,,
81,2020,NT-D,1st,PCM,,
66,2020,SBC,1st,PCM,,
40,2020,NT-D,1st,PCM,,
75,2020,SC,1st,PCM,,
52,2020,SEBC,1st,PCM,,
43,2020,Open,1st,PCM,,
41,2020,ST,1st,PCM,,
99,2020,NT-C,1st,PCM,,
60,2020,NT-B,1st,PCM,,
80,2020,NT-C,1st,PCM,,
85,2020,SC,1st,PCM,,
63,2020,NT-C,1st,PCM,,
56,2020,EBC,1st,PCM,,
46,2020,SBC,1st,PCM,,
88,2020,EBC,1st,PCM,,
83,2020,NT-D,1st,PCM,,
84,2020,SBC,1st,PCM,,
90,2020,Open,1st,PCM,,
50,2020,NT-D,1st,PCM,,
74,2020,OBC,1st,PCM,,
53,2020,EBC,1st,PCM,,
53,2020,SBC,1st,PCM,,
73,2020,NT-D,1st,PCM,,
97,2020,NT-B,1st,PCM,,
42,2020,SC,1st,PCM,,
45,2020,EBC,1st,PCM,,
79,2020,NT-C,1st,PCM,,
60,2020,SC,1st,PCM,,
62,2020,OBC,1st,PCM,,
44,2020,VJ-A,1st,PCM,,
69,2020,EBC,1st,PCM,,
49,2020,EBC,1st,PCM,,
55,2020,ST,1st,PCM,,
63,2020,NT-B,1st,PCM,,
74,2020,ST,1st,PCM,,
80,2020,SBC,1st,PCM,,
35,2020,SBC,1st,PCM,,
44,2020,NT-B,1st,PCM,,
37,2020,NT-B,1st,PCM,,
90,2020,NT-B,1st,PCM,,
52,2020,EBC,1st,PCM,,
94,2020,SBC,1st,PCM,,
90,2020,Open,1st,PCM,,
96,2020,Open,1st,PCM,,
90,2020,SC,1st,PCM,,
35,2020,Open,1st,PCM,,
94,2020,SEBC,1st,PCM,,
89,2020,VJ-A,1st,PCM,,
97,2020,NT-D,1st,PCM,,
73,2020,NT-D,1st,PCM,,
62,2020,NT-D,1st,PCM,,
64,2020,NT-C,1st,PCM,,
83,2020,EBC,2nd,PCM,,
47,2020,EBC,2nd,PCM,,
86,2020,SEBC,2nd,PCM,,
65,2020,NT-C,2nd,PCM,,
96,2020,NT-C,2nd,PCM,,
45,2020,OBC,2nd,PCM,,
38,2020,ST,2nd,PCM,,
85,2020,SC,2nd,PCM,,
49,2020,NT-B,2nd,PCM,,
40,2020,Open,2nd,PCM,,
58,2020,SBC,2nd,PCM,,
93,2020,NT-B,2nd,PCM,,
100,2020,NT-C,2nd,PCM,,
53,2020,NT-B,2nd,PCM,,
99,2020,SEBC,2nd,PCM,,
75,2020,OBC,2nd,PCM,,
35,2020,SBC,2nd,PCM,,
89,2020,SC,2nd,PCM,,
89,2020,NT-C,2nd,PCM,,
57,2020,EBC,2nd,PCM,,
94,2020,ST,2nd,PCM,,
84,2020,SC,2nd,PCM,,
70,2020,SC,2nd,PCM,,
72,2020,NT-C,2nd,PCM,,
91,2020,NT-C,2nd,PCM,,
57,2020,EBC,2nd,PCM,,
86,2020,Open,2nd,PCM,,
82,2020,Open,2nd,PCM,,
81,2020,VJ-A,2nd,PCM,,
83,2020,VJ-A,2nd,PCM,,
99,2020,EBC,2nd,PCM,,
78,2020,SEBC,2nd,PCM,,
100,2020,Open,2nd,PCM,,
57,2020,NT-B,2nd,PCM,,
93,2020,NT-C,2nd,PCM,,
43,2020,SC,2nd,PCM,,
42,2020,NT-B,2nd,PCM,,
58,2020,SC,2nd,PCM,,
52,2020,SC,2nd,PCM,,
52,2020,Open,2nd,PCM,,
55,2020,NT-C,2nd,PCM,,
62,2020,ST,2nd,PCM,,
47,2020,SC,2nd,PCM,,
53,2020,SC,2nd,PCM,,
50,2020,OBC,2nd,PCM,,
99,2020,OBC,2nd,PCM,,
46,2020,ST,2nd,PCM,,
47,2020,SEBC,2nd,PCM,,
79,2020,SC,2nd,PCM,,
83,2020,SEBC,2nd,PCM,,
49,2020,EBC,2nd,PCM,,
60,2020,ST,2nd,PCM,,
59,2020,NT-B,2nd,PCM,,
83,2020,ST,2nd,PCM,,
97,2020,OBC,2nd,PCM,,
65,2020,ST,2nd,PCM,,
47,2020,SC,2nd,PCM,,
87,2020,NT-B,2nd,PCM,,
78,2020,Open,2nd,PCM,,
93,2020,SBC,2nd,PCM,,
91,2020,ST,2nd,PCM,,
44,2020,SBC,2nd,PCM,,
95,2020,EBC,2nd,PCM,,
54,2020,Open,2nd,PCM,,
56,2020,OBC,2nd,PCM,,
74,2020,OBC,2nd,PCM,,
50,2020,SEBC,2nd,PCM,,
82,2020,Open,2nd,PCM,,
77,2020,NT-D,2nd,PCM,,
88,2020,NT-D,2nd,PCM,,
75,2020,SEBC,2nd,PCM,,
94,2020,SEBC,2nd,PCM,,
35,2020,NT-C,2nd,PCM,,
40,2020,EBC,2nd,PCM,,
78,2020,SC,2nd,PCM,,
74,2020,NT-C,2nd,PCM,,
47,2020,SEBC,2nd,PCM,,
82,2020,ST,2nd,PCM,,
95,2020,EBC,2nd,PCM,,
66,2020,SC,2nd,PCM,,
70,2020,NT-C,2nd,PCM,,
60,2020,NT-D,2nd,PCM,,
85,2020,NT-B,2nd,PCM,,
40,2020,ST,2nd,PCM,,
83,2020,SC,2nd,PCM,,
55,2020,NT-B,2nd,PCM,,
39,2020,NT-D,2nd,PCM,,
56,2020,EBC,2nd,PCM,,
43,2020,SEBC,2nd,PCM,,
64,2020,Open,2nd,PCM,,
87,2020,EBC,2nd,PCM,,
52,2020,NT-D,2nd,PCM,,
36,2020,OBC,2nd,PCM,,
35,2020,Open,2nd,PCM,,
39,2020,VJ-A,2nd,PCM,,
45,2020,VJ-A,2nd,PCM,,
45,2020,SC,2nd,PCM,,
45,2020,EBC,2nd,PCM,,
55,2020,Open,2nd,PCM,,
36,2020,SEBC,2nd,PCM,,
77,2020,NT-C,2nd,PCM,,
76,2020,OBC,2nd,PCM,,
95,2020,EBC,2nd,PCM,,
71,2020,NT-C,2nd,PCM,,
85,2020,ST,2nd,PCM,,
65,2020,EBC,2nd,PCM,,
61,2020,NT-D,2nd,PCM,,
41,2020,SEBC,2nd,PCM,,
35,2020,NT-D,2nd,PCM,,
85,2020,VJ-A,2nd,PCM,,
85,2020,SEBC,2nd,PCM,,
57,2020,SBC,2nd,PCM,,
89,2020,ST,2nd,PCM,,
87,2020,Open,2nd,PCM,,
45,2020,ST,2nd,PCM,,
98,2020,NT-B,2nd,PCM,,
71,2020,SC,2nd,PCM,,
39,2020,NT-B,2nd,PCM,,
53,2020,Open,2nd,PCM,,
85,2020,NT-D,2nd,PCM,,
58,2020,NT-D,2nd,PCM,,
79,2020,SEBC,2nd,PCM,,
48,2020,ST,2nd,PCM,,
67,2020,SC,2nd,PCM,,
60,2020,VJ-A,2nd,PCM,,
88,2020,NT-B,2nd,PCM,,
50,2020,NT-D,2nd,PCM,,
99,2020,NT-B,2nd,PCM,,
90,2020,NT-D,2nd,PCM,,
41,2020,OBC,2nd,PCM,,
65,2020,SEBC,2nd,PCM,,
87,2020,SEBC,2nd,PCM,,
79,2020,OBC,2nd,PCM,,
