marks,year,caste,list,cutoff,result
46,2021,EBC,2nd,#N/A,#N/A
80,2021,NT-C,2nd,77,1
72,2021,NT-B,2nd,60,1
44,2021,NT-C,2nd,77,0
51,2021,SEBC,2nd,#N/A,#N/A
39,2021,VJ-A,2nd,81,0
88,2021,SEBC,2nd,#N/A,#N/A
47,2021,NT-B,2nd,60,0
100,2021,NT-B,2nd,60,1
77,2021,Open,2nd,82,0
93,2021,NT-B,2nd,60,1
39,2021,VJ-A,2nd,81,0
93,2021,NT-B,2nd,60,1
63,2021,NT-D,2nd,44,1
95,2021,SBC,2nd,47,1
81,2021,EBC,2nd,#N/A,#N/A
68,2021,SBC,2nd,47,1
90,2021,SEBC,2nd,#N/A,#N/A
47,2021,OBC,2nd,59,0
77,2021,NT-C,2nd,77,0
85,2021,VJ-A,2nd,81,1
74,2021,EBC,2nd,#N/A,#N/A
99,2021,NT-B,2nd,60,1
53,2021,ST,2nd,74,0
68,2021,VJ-A,2nd,81,0
92,2021,VJ-A,2nd,81,1
94,2021,OBC,2nd,59,1
84,2021,SEBC,2nd,#N/A,#N/A
65,2021,NT-D,2nd,44,1
74,2021,Open,2nd,82,0
74,2021,Open,2nd,82,0
86,2021,SBC,2nd,47,1
88,2021,Open,2nd,82,1
52,2021,ST,2nd,74,0
86,2021,NT-C,2nd,77,1
89,2021,NT-B,2nd,60,1
64,2021,EBC,2nd,#N/A,#N/A
43,2021,NT-B,2nd,60,0
95,2021,SBC,2nd,47,1
63,2021,NT-D,2nd,44,1
79,2021,Open,2nd,82,0
86,2021,EBC,2nd,#N/A,#N/A
86,2021,SC,2nd,44,1
47,2021,NT-D,2nd,44,1
83,2021,EBC,2nd,#N/A,#N/A
45,2021,NT-D,2nd,44,1
79,2021,SBC,2nd,47,1
36,2021,NT-B,2nd,60,0
93,2021,SC,2nd,44,1
48,2021,OBC,2nd,59,0
95,2021,VJ-A,2nd,81,1
56,2021,NT-B,2nd,60,0
90,2021,SEBC,2nd,#N/A,#N/A
65,2021,Open,2nd,82,0
65,2021,EBC,2nd,#N/A,#N/A
98,2021,Open,2nd,82,1
49,2021,ST,2nd,74,0
76,2021,NT-B,2nd,60,1
66,2021,SEBC,2nd,#N/A,#N/A
95,2021,SC,2nd,44,1
47,2021,EBC,2nd,#N/A,#N/A
40,2021,SC,2nd,44,0
71,2021,Open,2nd,82,0
80,2021,NT-D,2nd,44,1
87,2021,SEBC,2nd,#N/A,#N/A
80,2021,NT-C,2nd,77,1
36,2021,NT-D,2nd,44,0
37,2021,EBC,2nd,#N/A,#N/A
76,2021,NT-D,2nd,44,1
51,2021,VJ-A,2nd,81,0
77,2021,EBC,2nd,#N/A,#N/A
52,2021,NT-B,2nd,60,0
85,2021,NT-B,2nd,60,1
61,2021,SEBC,2nd,#N/A,#N/A
95,2021,EBC,2nd,#N/A,#N/A
74,2021,OBC,2nd,59,1
64,2021,OBC,2nd,59,1
51,2021,VJ-A,2nd,81,0
36,2021,SBC,2nd,47,0
68,2021,SEBC,2nd,#N/A,#N/A
92,2021,SBC,2nd,47,1
54,2021,SEBC,2nd,#N/A,#N/A
97,2021,SBC,2nd,47,1
75,2021,NT-C,2nd,77,0
41,2021,ST,2nd,74,0
86,2021,ST,2nd,74,1
57,2021,NT-D,2nd,44,1
47,2021,NT-D,2nd,44,1
65,2021,NT-D,2nd,44,1
90,2021,EBC,2nd,#N/A,#N/A
99,2021,NT-B,2nd,60,1
50,2021,NT-B,2nd,60,0
38,2021,EBC,2nd,#N/A,#N/A
92,2021,EBC,2nd,#N/A,#N/A
68,2021,SC,2nd,44,1
77,2021,Open,2nd,82,0
63,2021,SEBC,2nd,#N/A,#N/A
73,2021,OBC,2nd,59,1
96,2021,NT-B,2nd,60,1
42,2021,SC,2nd,44,0
99,2021,SBC,2nd,47,1
81,2021,SEBC,2nd,#N/A,#N/A
44,2021,NT-B,2nd,60,0
100,2021,SEBC,2nd,#N/A,#N/A
83,2021,VJ-A,2nd,81,1
76,2021,Open,2nd,82,0
55,2021,SEBC,2nd,#N/A,#N/A
88,2021,SBC,2nd,47,1
83,2021,NT-B,2nd,60,1
56,2021,SC,2nd,44,1
37,2021,SC,2nd,44,0
53,2021,SEBC,2nd,#N/A,#N/A
79,2021,VJ-A,2nd,81,0
65,2021,OBC,2nd,59,1
43,2021,NT-C,2nd,77,0
39,2021,SC,2nd,44,0
63,2021,SC,2nd,44,1
90,2021,OBC,2nd,59,1
35,2021,OBC,2nd,59,0
74,2021,ST,2nd,74,0
48,2021,VJ-A,2nd,81,0
58,2021,NT-C,2nd,77,0
97,2021,VJ-A,2nd,81,1
36,2021,SBC,2nd,47,0
83,2021,NT-D,2nd,44,1
55,2021,SEBC,2nd,#N/A,#N/A
69,2021,SC,2nd,44,1
46,2021,EBC,2nd,#N/A,#N/A
88,2021,NT-C,2nd,77,1
83,2021,OBC,2nd,59,1
81,2021,SEBC,2nd,#N/A,#N/A
80,2021,ST,2nd,74,1
59,2021,VJ-A,2nd,81,0
89,2021,NT-B,2nd,60,1
75,2021,NT-B,2nd,60,1
78,2021,NT-B,2nd,60,1
60,2021,Open,2nd,82,0
75,2021,VJ-A,2nd,81,0
37,2021,OBC,2nd,59,0
100,2021,VJ-A,2nd,81,1
82,2021,NT-C,2nd,77,1
35,2021,NT-B,2nd,60,0
63,2021,ST,2nd,74,0
99,2021,EBC,2nd,#N/A,#N/A
59,2021,VJ-A,2nd,81,0
36,2021,VJ-A,2nd,81,0
52,2021,SC,2nd,44,1
85,2021,EBC,2nd,#N/A,#N/A
84,2021,ST,2nd,74,1
55,2021,VJ-A,2nd,81,0
73,2021,EBC,2nd,#N/A,#N/A
82,2021,SC,2nd,44,1
74,2021,NT-C,2nd,77,0
58,2021,SEBC,2nd,#N/A,#N/A
47,2021,SEBC,2nd,#N/A,#N/A
56,2021,SC,2nd,44,1
98,2021,VJ-A,2nd,81,1
39,2021,NT-B,2nd,60,0
53,2021,VJ-A,2nd,81,0
70,2021,NT-C,2nd,77,0
44,2021,NT-C,2nd,77,0
85,2021,Open,2nd,82,1
65,2021,OBC,2nd,59,1
71,2021,ST,2nd,74,0
84,2021,SC,2nd,44,1
50,2021,NT-C,2nd,77,0
68,2021,VJ-A,2nd,81,0
39,2021,SBC,2nd,47,0
59,2021,NT-B,2nd,60,0
79,2021,OBC,2nd,59,1
79,2021,Open,2nd,82,0
95,2021,NT-D,2nd,44,1
48,2021,NT-D,2nd,44,1
95,2021,OBC,2nd,59,1
50,2021,SBC,2nd,47,1
68,2021,NT-C,2nd,77,0
37,2021,SC,2nd,44,0
84,2021,NT-D,2nd,44,1
95,2021,SEBC,2nd,#N/A,#N/A
84,2021,SEBC,2nd,#N/A,#N/A
77,2021,ST,2nd,74,1
53,2021,NT-D,2nd,44,1
100,2021,NT-B,2nd,60,1
77,2021,SEBC,2nd,#N/A,#N/A
35,2021,OBC,2nd,59,0
41,2021,ST,2nd,74,0
49,2021,EBC,2nd,#N/A,#N/A
60,2021,NT-C,2nd,77,0
94,2021,NT-B,2nd,60,1
86,2021,EBC,2nd,#N/A,#N/A
77,2021,SC,2nd,44,1
59,2021,Open,2nd,82,0
50,2021,NT-B,2nd,60,0
90,2021,SBC,2nd,47,1
57,2021,NT-D,2nd,44,1
37,2021,OBC,2nd,59,0
100,2021,NT-B,2nd,60,1
40,2021,OBC,2nd,59,0
68,2021,Open,2nd,82,0
85,2021,SC,2nd,44,1
100,2021,VJ-A,2nd,81,1
48,2021,OBC,2nd,59,0
82,2021,SEBC,2nd,#N/A,#N/A
35,2021,NT-B,2nd,60,0
73,2021,SEBC,2nd,#N/A,#N/A
75,2021,ST,2nd,74,1
75,2021,NT-D,2nd,44,1
74,2021,VJ-A,2nd,81,0
78,2021,VJ-A,2nd,81,0
74,2021,NT-B,2nd,60,1
63,2021,SEBC,2nd,#N/A,#N/A
57,2021,ST,2nd,74,0
64,2021,SC,2nd,44,1
64,2021,OBC,2nd,59,1
42,2021,SC,2nd,44,0
40,2021,EBC,2nd,#N/A,#N/A
64,2021,ST,2nd,74,0
49,2021,ST,2nd,74,0
70,2021,SEBC,2nd,#N/A,#N/A
69,2021,SC,2nd,44,1
78,2021,NT-D,2nd,44,1
96,2021,SC,2nd,44,1
36,2021,SEBC,2nd,#N/A,#N/A
96,2021,EBC,2nd,#N/A,#N/A
99,2021,SC,2nd,44,1
90,2021,SBC,2nd,47,1
92,2021,SEBC,2nd,#N/A,#N/A
53,2021,OBC,2nd,59,0
51,2021,VJ-A,2nd,81,0
40,2021,VJ-A,2nd,81,0
41,2021,ST,2nd,74,0
74,2021,EBC,2nd,#N/A,#N/A
64,2021,OBC,2nd,59,1
45,2021,EBC,2nd,#N/A,#N/A
49,2021,SBC,2nd,47,1
90,2021,VJ-A,2nd,81,1
92,2021,SEBC,2nd,#N/A,#N/A
49,2021,Open,2nd,82,0
59,2021,EBC,2nd,#N/A,#N/A
88,2021,Open,2nd,82,1
94,2021,NT-C,2nd,77,1
37,2021,NT-D,2nd,44,0
85,2021,Open,2nd,82,1
99,2021,SEBC,2nd,#N/A,#N/A
65,2021,EBC,2nd,#N/A,#N/A
91,2021,NT-D,2nd,44,1
92,2021,NT-C,2nd,77,1
91,2021,OBC,2nd,59,1
95,2021,EBC,2nd,#N/A,#N/A
36,2021,SBC,2nd,47,0
71,2021,EBC,2nd,#N/A,#N/A
70,2021,Open,2nd,82,0
92,2021,SBC,2nd,47,1
58,2021,EBC,2nd,#N/A,#N/A
37,2021,SBC,2nd,47,0
99,2021,NT-D,2nd,44,1
57,2021,NT-B,2nd,60,0
52,2021,OBC,2nd,59,0
63,2021,NT-D,2nd,44,1
40,2021,EBC,2nd,#N/A,#N/A
57,2021,VJ-A,2nd,81,0
51,2021,VJ-A,2nd,81,0
94,2021,NT-B,2nd,60,1
96,2021,SEBC,2nd,#N/A,#N/A
41,2021,NT-C,2nd,77,0
95,2021,SEBC,2nd,#N/A,#N/A
57,2021,VJ-A,2nd,81,0
60,2021,ST,2nd,74,0
62,2021,SBC,2nd,47,1
40,2021,SC,2nd,44,0
84,2021,NT-B,2nd,60,1
55,2021,NT-C,2nd,77,0
65,2021,NT-B,2nd,60,1
61,2021,OBC,2nd,59,1
87,2021,Open,2nd,82,1
100,2021,OBC,2nd,59,1
47,2021,SC,2nd,44,1
78,2021,Open,2nd,82,0
63,2021,OBC,2nd,59,1
48,2021,NT-D,2nd,44,1
80,2021,SEBC,2nd,#N/A,#N/A
67,2021,SEBC,2nd,#N/A,#N/A
85,2021,SBC,2nd,47,1
77,2021,Open,2nd,82,0
74,2021,SC,2nd,44,1
77,2021,SEBC,2nd,#N/A,#N/A
99,2021,SC,2nd,44,1
71,2021,EBC,2nd,#N/A,#N/A
56,2021,Open,2nd,82,0
71,2021,SBC,2nd,47,1
54,2021,NT-D,2nd,44,1
68,2021,VJ-A,2nd,81,0
66,2021,SEBC,2nd,#N/A,#N/A
71,2021,NT-C,2nd,77,0
76,2021,NT-D,2nd,44,1
48,2021,NT-B,2nd,60,0
78,2021,SEBC,2nd,#N/A,#N/A
60,2021,SBC,2nd,47,1
48,2021,OBC,2nd,59,0
79,2021,OBC,2nd,59,1
69,2021,NT-C,2nd,77,0
94,2021,NT-D,2nd,44,1
86,2021,ST,2nd,74,1
37,2021,NT-C,2nd,77,0
84,2021,NT-D,2nd,44,1
91,2021,OBC,2nd,59,1
68,2021,ST,2nd,74,0
72,2021,EBC,2nd,#N/A,#N/A
37,2021,Open,2nd,82,0
78,2021,SBC,2nd,47,1
53,2021,SBC,2nd,47,1
79,2021,NT-B,2nd,60,1
37,2021,SC,2nd,44,0
83,2021,ST,2nd,74,1
74,2021,Open,2nd,82,0
39,2021,OBC,2nd,59,0
92,2021,SEBC,2nd,#N/A,#N/A
83,2021,VJ-A,2nd,81,1
63,2021,SC,2nd,44,1
59,2021,VJ-A,2nd,81,0
82,2021,NT-C,2nd,77,1
70,2021,Open,2nd,82,0
75,2021,SEBC,2nd,#N/A,#N/A
53,2021,Open,2nd,82,0
69,2021,SEBC,2nd,#N/A,#N/A
76,2021,OBC,2nd,59,1
69,2021,OBC,2nd,59,1
87,2021,SBC,2nd,47,1
40,2021,SC,2nd,44,0
85,2021,NT-B,2nd,60,1
42,2021,SBC,2nd,47,0
65,2021,NT-C,2nd,77,0
76,2021,SBC,2nd,47,1
80,2021,NT-D,2nd,44,1
61,2021,ST,2nd,74,0
83,2021,OBC,2nd,59,1
71,2021,SEBC,2nd,#N/A,#N/A
74,2021,SBC,2nd,47,1
61,2021,Open,2nd,82,0
93,2021,Open,2nd,82,1
92,2021,ST,2nd,74,1
55,2021,NT-C,2nd,77,0
91,2021,Open,2nd,82,1
81,2021,NT-B,2nd,60,1
42,2021,ST,2nd,74,0
90,2021,Open,2nd,82,1
82,2021,SBC,2nd,47,1
61,2021,SEBC,2nd,#N/A,#N/A
80,2021,NT-B,2nd,60,1
55,2021,NT-D,2nd,44,1
54,2021,EBC,2nd,#N/A,#N/A
70,2021,VJ-A,2nd,81,0
95,2021,VJ-A,2nd,81,1
65,2021,ST,2nd,74,0
88,2021,SBC,2nd,47,1
78,2021,Open,2nd,82,0
47,2021,SBC,2nd,47,0
86,2021,EBC,2nd,#N/A,#N/A
93,2021,ST,2nd,74,1
35,2021,OBC,2nd,59,0
48,2021,NT-C,2nd,77,0
82,2021,NT-C,2nd,77,1
86,2021,NT-B,2nd,60,1
45,2021,EBC,2nd,#N/A,#N/A
41,2021,SEBC,2nd,#N/A,#N/A
47,2021,NT-C,2nd,77,0
77,2021,SEBC,2nd,#N/A,#N/A
97,2021,SC,2nd,44,1
54,2021,SEBC,2nd,#N/A,#N/A
71,2021,NT-B,2nd,60,1
54,2021,SBC,2nd,47,1
69,2021,NT-D,2nd,44,1
77,2021,VJ-A,2nd,81,0
46,2021,Open,2nd,82,0
65,2021,ST,2nd,74,0
49,2021,NT-D,2nd,44,1
94,2021,OBC,2nd,59,1
56,2021,EBC,2nd,#N/A,#N/A
54,2021,NT-B,2nd,60,0
42,2021,NT-D,2nd,44,0
77,2021,EBC,2nd,#N/A,#N/A
60,2021,OBC,2nd,59,1
45,2021,NT-D,2nd,44,1
90,2021,SBC,2nd,47,1
89,2021,SBC,2nd,47,1
77,2021,NT-D,2nd,44,1
99,2021,NT-D,2nd,44,1
56,2021,VJ-A,2nd,81,0
86,2021,SC,2nd,44,1
65,2021,NT-C,2nd,77,0
54,2021,SEBC,2nd,#N/A,#N/A
51,2021,NT-B,2nd,60,0
94,2021,OBC,2nd,59,1
79,2021,NT-D,2nd,44,1
48,2021,ST,2nd,74,0
40,2021,EBC,2nd,#N/A,#N/A
59,2021,SBC,2nd,47,1
36,2021,SBC,2nd,47,0
59,2021,NT-B,2nd,60,0
91,2021,SBC,2nd,47,1
54,2021,EBC,2nd,#N/A,#N/A
88,2021,NT-D,2nd,44,1
66,2021,SBC,2nd,47,1
63,2021,NT-B,2nd,60,1
96,2021,SBC,2nd,47,1
35,2021,NT-D,2nd,44,0
47,2021,OBC,2nd,59,0
60,2021,VJ-A,2nd,81,0
52,2021,NT-B,2nd,60,0
70,2021,Open,2nd,82,0
82,2021,NT-B,2nd,60,1
87,2021,SC,2nd,44,1
77,2021,Open,2nd,82,0
96,2021,Open,2nd,82,1
99,2021,VJ-A,2nd,81,1
81,2021,NT-B,2nd,60,1
61,2021,Open,2nd,82,0
89,2021,Open,2nd,82,1
66,2021,VJ-A,2nd,81,0
61,2021,SC,2nd,44,1
67,2021,SC,2nd,44,1
76,2021,VJ-A,2nd,81,0
95,2021,ST,2nd,74,1
69,2021,ST,2nd,74,0
76,2021,OBC,2nd,59,1
48,2021,Open,2nd,82,0
97,2021,EBC,2nd,#N/A,#N/A
79,2021,NT-B,2nd,60,1
52,2021,NT-B,2nd,60,0
90,2021,SEBC,2nd,#N/A,#N/A
59,2021,EBC,2nd,#N/A,#N/A
56,2021,Open,2nd,82,0
69,2021,NT-D,2nd,44,1
94,2021,ST,2nd,74,1
75,2021,SC,2nd,44,1
88,2021,ST,2nd,74,1
98,2021,SC,2nd,44,1
94,2021,EBC,2nd,#N/A,#N/A
75,2021,OBC,2nd,59,1
94,2021,SBC,2nd,47,1
53,2021,NT-C,2nd,77,0
97,2021,SEBC,2nd,#N/A,#N/A
54,2021,NT-C,2nd,77,0
98,2021,EBC,2nd,#N/A,#N/A
89,2021,SC,2nd,44,1
57,2021,Open,2nd,82,0
85,2021,NT-C,2nd,77,1
43,2021,SEBC,2nd,#N/A,#N/A
78,2021,SEBC,2nd,#N/A,#N/A
66,2021,SEBC,2nd,#N/A,#N/A
80,2021,SEBC,2nd,#N/A,#N/A
59,2021,ST,2nd,74,0
77,2021,NT-C,2nd,77,0
36,2021,SEBC,2nd,#N/A,#N/A
89,2021,Open,2nd,82,1
42,2021,OBC,2nd,59,0
77,2021,SEBC,2nd,#N/A,#N/A
64,2021,ST,2nd,74,0
89,2021,NT-D,2nd,44,1
61,2021,NT-B,2nd,60,1
92,2021,VJ-A,2nd,81,1
74,2021,EBC,2nd,#N/A,#N/A
68,2021,SBC,2nd,47,1
75,2021,OBC,2nd,59,1
41,2021,EBC,2nd,#N/A,#N/A
74,2021,ST,2nd,74,0
93,2021,ST,2nd,74,1
94,2021,ST,2nd,74,1
70,2021,SC,2nd,44,1
40,2021,SC,2nd,44,0
80,2021,OBC,2nd,59,1
58,2021,SC,2nd,44,1
81,2021,SC,2nd,44,1
91,2021,VJ-A,2nd,81,1
100,2021,SC,2nd,44,1
85,2021,SBC,2nd,47,1
41,2021,Open,2nd,82,0
44,2021,SC,2nd,44,0
96,2021,NT-D,2nd,44,1
99,2021,Open,2nd,82,1
96,2021,SEBC,2nd,#N/A,#N/A
52,2021,NT-C,2nd,77,0
94,2021,OBC,2nd,59,1
78,2021,NT-B,2nd,60,1
56,2021,Open,2nd,82,0
93,2021,ST,2nd,74,1
87,2021,NT-B,2nd,60,1
56,2021,VJ-A,2nd,81,0
70,2021,NT-C,2nd,77,0
92,2021,ST,2nd,74,1
60,2021,SEBC,2nd,#N/A,#N/A
86,2021,NT-B,2nd,60,1
71,2021,Open,2nd,82,0
80,2021,Open,2nd,82,0
47,2021,SBC,2nd,47,0
75,2021,NT-C,2nd,77,0
54,2021,VJ-A,2nd,81,0
52,2021,VJ-A,2nd,81,0
53,2021,OBC,2nd,59,0
36,2021,SBC,2nd,47,0
61,2021,NT-C,2nd,77,0
100,2021,Open,2nd,82,1
99,2021,VJ-A,2nd,81,1
83,2021,NT-D,2nd,44,1
72,2021,OBC,2nd,59,1
99,2021,NT-D,2nd,44,1
92,2021,VJ-A,2nd,81,1
53,2021,EBC,2nd,#N/A,#N/A
83,2021,VJ-A,2nd,81,1
84,2021,NT-B,2nd,60,1
96,2021,ST,2nd,74,1
78,2021,NT-D,2nd,44,1
83,2021,NT-B,2nd,60,1
95,2021,OBC,2nd,59,1
83,2021,EBC,2nd,#N/A,#N/A
94,2021,EBC,2nd,#N/A,#N/A
52,2021,Open,2nd,82,0
67,2021,ST,2nd,74,0
76,2021,ST,2nd,74,1
61,2021,SC,2nd,44,1
64,2021,Open,2nd,82,0
78,2021,ST,2nd,74,1
97,2021,SEBC,2nd,#N/A,#N/A
69,2021,ST,2nd,74,0
86,2021,ST,2nd,74,1
62,2021,SEBC,2nd,#N/A,#N/A
95,2021,EBC,2nd,#N/A,#N/A
99,2021,NT-C,2nd,77,1
45,2021,NT-B,2nd,60,0
95,2021,VJ-A,2nd,81,1
93,2021,SEBC,2nd,#N/A,#N/A
90,2021,SEBC,2nd,#N/A,#N/A
38,2021,OBC,2nd,59,0
45,2021,NT-D,2nd,44,1
35,2021,ST,2nd,74,0
38,2021,Open,2nd,82,0
43,2021,NT-C,2nd,77,0
95,2021,NT-B,2nd,60,1
68,2021,NT-B,2nd,60,1
98,2021,SBC,2nd,47,1
41,2021,NT-C,2nd,77,0
57,2021,EBC,2nd,#N/A,#N/A
41,2021,NT-B,2nd,60,0
84,2021,NT-D,2nd,44,1
39,2021,SBC,2nd,47,0
61,2021,NT-D,2nd,44,1
69,2021,OBC,2nd,59,1
77,2021,SBC,2nd,47,1
78,2021,Open,2nd,82,0
60,2021,NT-B,2nd,60,0
65,2021,ST,2nd,74,0
35,2021,Open,2nd,82,0
84,2021,NT-D,2nd,44,1
70,2021,OBC,2nd,59,1
69,2021,NT-D,2nd,44,1
79,2021,NT-D,2nd,44,1
98,2021,NT-B,2nd,60,1
72,2021,Open,2nd,82,0
64,2021,Open,2nd,82,0
71,2021,NT-D,2nd,44,1
90,2021,SC,2nd,44,1
60,2021,SBC,2nd,47,1
37,2021,OBC,2nd,59,0
88,2021,NT-B,2nd,60,1
76,2021,VJ-A,2nd,81,0
81,2021,NT-B,2nd,60,1
71,2021,NT-C,2nd,77,0
92,2021,OBC,2nd,59,1
35,2021,SC,2nd,44,0
92,2021,NT-B,2nd,60,1
54,2021,NT-D,2nd,44,1
78,2021,SEBC,2nd,#N/A,#N/A
77,2021,Open,2nd,82,0
62,2021,NT-B,2nd,60,1
36,2021,OBC,2nd,59,0
52,2021,ST,2nd,74,0
76,2021,EBC,2nd,#N/A,#N/A
36,2021,Open,2nd,82,0
65,2021,NT-B,2nd,60,1
92,2021,NT-B,2nd,60,1
67,2021,VJ-A,2nd,81,0
55,2021,NT-D,2nd,44,1
37,2021,OBC,2nd,59,0
83,2021,OBC,2nd,59,1
41,2021,NT-D,2nd,44,0
46,2021,EBC,2nd,#N/A,#N/A
49,2021,ST,2nd,74,0
64,2021,Open,2nd,82,0
36,2021,Open,2nd,82,0
51,2021,EBC,2nd,#N/A,#N/A
37,2021,OBC,2nd,59,0
57,2021,NT-D,2nd,44,1
43,2021,SEBC,2nd,#N/A,#N/A
52,2021,NT-D,2nd,44,1
64,2021,OBC,2nd,59,1
52,2021,NT-D,2nd,44,1
48,2021,VJ-A,2nd,81,0
95,2021,SEBC,2nd,#N/A,#N/A
96,2021,NT-D,3rd,38,1
66,2021,ST,3rd,61,1
49,2021,NT-C,3rd,63,0
47,2021,SBC,3rd,68,0
73,2021,NT-B,3rd,48,1
38,2021,Open,3rd,72,0
69,2021,VJ-A,3rd,68,1
79,2021,SEBC,3rd,#N/A,#N/A
55,2021,SBC,3rd,68,0
65,2021,VJ-A,3rd,68,0
71,2021,SEBC,3rd,#N/A,#N/A
98,2021,NT-D,3rd,38,1
50,2021,SEBC,3rd,#N/A,#N/A
84,2021,SEBC,3rd,#N/A,#N/A
42,2021,NT-D,3rd,38,1
73,2021,VJ-A,3rd,68,1
56,2021,Open,3rd,72,0
91,2021,SBC,3rd,68,1
68,2021,Open,3rd,72,0
65,2021,NT-C,3rd,63,1
84,2021,SEBC,3rd,#N/A,#N/A
90,2021,VJ-A,3rd,68,1
49,2021,Open,3rd,72,0
57,2021,NT-B,3rd,48,1
60,2021,ST,3rd,61,0
56,2021,SEBC,3rd,#N/A,#N/A
88,2021,OBC,3rd,62,1
38,2021,Open,3rd,72,0
74,2021,NT-B,3rd,48,1
86,2021,NT-B,3rd,48,1
66,2021,NT-D,3rd,38,1
71,2021,ST,3rd,61,1
87,2021,SC,3rd,38,1
45,2021,NT-C,3rd,63,0
88,2021,NT-D,3rd,38,1
59,2021,NT-C,3rd,63,0
89,2021,OBC,3rd,62,1
57,2021,ST,3rd,61,0
58,2021,SEBC,3rd,#N/A,#N/A
59,2021,VJ-A,3rd,68,0
62,2021,ST,3rd,61,1
48,2021,NT-D,3rd,38,1
57,2021,NT-D,3rd,38,1
72,2021,EBC,3rd,#N/A,#N/A
86,2021,ST,3rd,61,1
55,2021,SBC,3rd,68,0
66,2021,SEBC,3rd,#N/A,#N/A
40,2021,NT-D,3rd,38,1
79,2021,ST,3rd,61,1
100,2021,NT-B,3rd,48,1
97,2021,EBC,3rd,#N/A,#N/A
57,2021,SBC,3rd,68,0
75,2021,SBC,3rd,68,1
44,2021,VJ-A,3rd,68,0
35,2021,ST,3rd,61,0
78,2021,SC,3rd,38,1
61,2021,EBC,3rd,#N/A,#N/A
68,2021,SC,3rd,38,1
50,2021,SBC,3rd,68,0
81,2021,NT-B,3rd,48,1
68,2021,NT-C,3rd,63,1
62,2021,SEBC,3rd,#N/A,#N/A
94,2021,SBC,3rd,68,1
76,2021,EBC,3rd,#N/A,#N/A
100,2021,SBC,3rd,68,1
75,2021,Open,3rd,72,1
77,2021,NT-B,3rd,48,1
71,2021,NT-B,3rd,48,1
56,2021,NT-B,3rd,48,1
89,2021,NT-C,3rd,63,1
70,2021,OBC,3rd,62,1
72,2021,ST,3rd,61,1
100,2021,OBC,3rd,62,1
75,2021,NT-D,3rd,38,1
86,2021,SC,3rd,38,1
85,2021,ST,3rd,61,1
79,2021,EBC,3rd,#N/A,#N/A
94,2021,NT-B,3rd,48,1
67,2021,SEBC,3rd,#N/A,#N/A
92,2021,EBC,3rd,#N/A,#N/A
100,2021,NT-B,3rd,48,1
40,2021,SBC,3rd,68,0
51,2021,NT-D,3rd,38,1
79,2021,VJ-A,3rd,68,1
48,2021,VJ-A,3rd,68,0
81,2021,VJ-A,3rd,68,1
57,2021,EBC,3rd,#N/A,#N/A
64,2021,Open,3rd,72,0
56,2021,Open,3rd,72,0
92,2021,VJ-A,3rd,68,1
93,2021,EBC,3rd,#N/A,#N/A
46,2021,EBC,3rd,#N/A,#N/A
80,2021,ST,3rd,61,1
87,2021,SEBC,3rd,#N/A,#N/A
85,2021,OBC,3rd,62,1
37,2021,SEBC,3rd,#N/A,#N/A
85,2021,SBC,3rd,68,1
93,2021,Open,3rd,72,1
44,2021,ST,3rd,61,0
42,2021,ST,3rd,61,0
60,2021,SEBC,3rd,#N/A,#N/A
55,2021,EBC,3rd,#N/A,#N/A
67,2021,ST,3rd,61,1
93,2021,SC,3rd,38,1
77,2021,VJ-A,3rd,68,1
48,2021,ST,3rd,61,0
78,2021,EBC,3rd,#N/A,#N/A
45,2021,SBC,3rd,68,0
71,2021,NT-C,3rd,63,1
77,2021,SBC,3rd,68,1
43,2021,EBC,3rd,#N/A,#N/A
41,2021,NT-B,3rd,48,0
75,2021,SC,3rd,38,1
93,2021,OBC,3rd,62,1
53,2021,OBC,3rd,62,0
39,2021,NT-B,3rd,48,0
55,2021,NT-C,3rd,63,0
38,2021,NT-D,3rd,38,0
68,2021,EBC,3rd,#N/A,#N/A
68,2021,SBC,3rd,68,0
41,2021,SC,3rd,38,1
96,2021,NT-D,3rd,38,1
78,2021,SBC,3rd,68,1
63,2021,EBC,3rd,#N/A,#N/A
56,2021,NT-D,3rd,38,1
76,2021,Open,3rd,72,1
55,2021,Open,3rd,72,0
41,2021,Open,3rd,72,0
98,2021,NT-B,3rd,48,1
71,2021,NT-C,3rd,63,1
91,2021,OBC,3rd,62,1
35,2021,SBC,3rd,68,0
81,2021,ST,3rd,61,1
62,2021,VJ-A,3rd,68,0
89,2021,VJ-A,3rd,68,1
96,2021,NT-C,3rd,63,1
93,2021,SEBC,3rd,#N/A,#N/A
79,2021,ST,3rd,61,1
51,2021,EBC,3rd,#N/A,#N/A
60,2021,SEBC,3rd,#N/A,#N/A
39,2021,Open,3rd,72,0
68,2021,NT-B,3rd,48,1
41,2021,NT-B,3rd,48,0
96,2021,OBC,3rd,62,1
72,2021,VJ-A,3rd,68,1
76,2021,EBC,3rd,#N/A,#N/A
100,2021,SBC,3rd,68,1
87,2021,NT-D,3rd,38,1
42,2021,VJ-A,3rd,68,0
86,2021,VJ-A,3rd,68,1
93,2021,VJ-A,3rd,68,1
62,2021,OBC,3rd,62,0
74,2021,NT-C,3rd,63,1
42,2021,SEBC,3rd,#N/A,#N/A
86,2021,SC,3rd,38,1
68,2021,Open,3rd,72,0
51,2021,SC,3rd,38,1
51,2021,SEBC,3rd,#N/A,#N/A
